item_code,item_description,quantity,minimum_threshold,unit,status,plant_id
PRFL0006,PROFILE MOV. LC1F2654A (P)(4POLE) / TC/RE/F2/278,100,50,pieces,available,1
PRFL0010,PROFILE FIX LEFT(P)LC1F4004A(4POLE) / TC/RE/F2/298,100,50,pieces,available,1
PRFL0012,PROFILE FIX RHT LC1F4004A(P)(4POLE) / TC/RE/F2/306,100,50,pieces,available,1
PRFL0013,PROFILE (M) LC1F4004A(P) / TCREF2297,100,50,pieces,available,1
PRFL0015,PROFILE (F) FF/F115-150 / TC361793*,100,50,pieces,available,1
PRFL0016,PROFILE (F) LC1F1154/1504 (A),100,50,pieces,available,1
PRFL0017,PROFILE (F) FG/F185-225,100,50,pieces,available,1
PRFL0018,PROFILE (F) LC1F1854/2254A (P) / STD,100,50,pieces,available,1
PRFL0019,PROFILE (F) FH/F265,100,50,pieces,available,1
PRFL0020,PROFILE FIX LC1F2654A (P) (4POLE),100,50,pieces,available,1
PRFL0021,PROFILE (FIX) LC1F330,100,50,pieces,available,1
PRFL0022,"PROFILE(F)PUNCHED LC1F330A,4P,(P)",100,50,pieces,available,1
PRFL0024,FIX PROFILE RIGHT LC1FDP5004A/TCPD6003,100,50,pieces,available,1
PRFL0025,FIX PROFILE LEFT LC1FDP5004A/TCPD6002,100,50,pieces,available,1
PRFL0026,MOVING PROFILE LC1FDP5004A/TCPD6007,100,50,pieces,available,1
PRFL0027,Fixed Profile Left  LC1FDP2600A/TCPD6719,100,50,pieces,available,1
PRFL0028,Fixed Profile Right  LC1FDP2600A/TCPD6720,100,50,pieces,available,1
PRFL0029,Moving Profile  LC1FDP2600A/TCPD6721,100,50,pieces,available,1
PRFL2165,PROFILE (F) (P) FJ/F400 / 341552-402,100,50,pieces,available,1
PRFL2170,PROFILE (F) (S) FJ/F400 / 355029-402,100,50,pieces,available,1
PRFL2175,PROFILE (F) (P) FL/F630 / 341552-602,100,50,pieces,available,1
PRFL2180,PROFILE (F) (S) FK/F500 / 341551-502,100,50,pieces,available,1
PRFL2185,PROFILE (F) (P) FK/F500 / 341552-502,100,50,pieces,available,1
PRFL2190,PROFILE (F) (S) FL-630 / 355518-602,100,50,pieces,available,2
PRFL2195,PROFILE (F) LC1FX/F780 / TCPD0475,100,50,pieces,available,2
PRFL2210,PROFILE (M) FH/F265 / 350901-302,100,50,pieces,available,2
PRFL2215,PROFILE (M) FJ/F400 / 341951-402,100,50,pieces,available,2
PRFL2220,PROFILE (M) FK/F500 / 341951-502,100,50,pieces,available,2
PRFL2225,PROFILE (M) FL/F630 / 341954-602,100,50,pieces,available,2
PRFL2230,PROFILE (M) LC1FX/F780 / TCPD0484,100,50,pieces,available,2
PRFL2240,PROFILE (M) LC1F330A / TC/RE/F2/085,100,50,pieces,available,2
PRFL2250,PROFILE (F) F7804 / TCPD0865,100,50,pieces,available,2
PRFL2260,PROFILE (M) F7804 / TCPD0864,100,50,pieces,available,2
PRFL2270,PROFILE (F) (P) LC1F630 4A / TC/RE/F2/131,100,50,pieces,available,2
PRFL2280,PROFILE (F) (S) LC1F630 4A / 341552-603,100,50,pieces,available,2
PRFL2290,PROFILE (M) LC1F6304A / 341957-603,100,50,pieces,available,2
PRFL2854,"PROFILE(M) PUNCHED LC1F330A-4P,(P) / TC/RE/F2/502",100,50,pieces,available,2
SHMT1062,OUTLET COIL (PLATED) LX1D09-32 / 332191,100,50,pieces,available,2
SHMT1063,OUTLET COIL TX1D2-TX1D4 / TC/RE/D2/006,100,50,pieces,available,2
SHMT3599,OUTLET COIL TC1D25/32/3811 / TCPD3811,100,50,pieces,available,2
SHMT9637,CONNECTOR STRIP TA7D40 / TC/RE/D2/1318,100,50,pieces,available,2
SHMT9638,BRASS STRIP TA7D40 / TC/RE/D2/1319,100,50,pieces,available,2
SHMT0129,SUPPORT MOVING TC1DT404Ne / TCPD2825,100,50,pieces,available,2
SHMT0164,SUPPORT (M) 4 POLE AGRO CONTACTOR / TCPD2909,100,50,pieces,available,2
SHMT0166,SUPPORT (F) 4 POLE AGRO CONTACTOR / TCPD2916,100,50,pieces,available,2
SHMT0246,SUPPORT (F) NO D25 / TC374252,100,50,pieces,available,2
SHMT0247,SUPPORT (F) NC D25 / 364613,100,50,pieces,available,2
SHMT0252,SUPPORT MOVING LC1D/TC1D/TP1D80 / TC444595,100,50,pieces,available,3
SHMT0325,SUPPORT FIXED TC1/TP1D32 (U/P-MEM) / TC374101*,100,50,pieces,available,3
SHMT0335,SUPPORT (F) D25 / TC370913,100,50,pieces,available,3
SHMT0355,SUPPORT (F) NC POWER LC1D258 / TCPD1037,100,50,pieces,available,3
SHMT0440,SUPPORT (F) (R) (INNER) / TC/RE/D2/242,100,50,pieces,available,3
SHMT0445,SUPPORT (F) (L) (INNER) / TC/RE/D2/244,100,50,pieces,available,3
SHMT0513,FIX SUPPORT (NC)/TCPD6542,100,50,pieces,available,3
SHMT0225,SUPPORT (F) CA2DN PLATED / TC358891-01(SHMT0525),100,50,pieces,available,3
SHMT0230,SUPPORT (F) LA1D NC PLATED / 358983(SHMT0530),100,50,pieces,available,3
SHMT0235,SUPPORT (F) LA1D NO PLATED / 358981(SHMT0535),100,50,pieces,available,3
SHMT0240,SUPPORT (F) NC D09 PLATED / TC337408(SHMT0545),100,50,pieces,available,3
SHMT0340,SUPPORT (F) D17/18 PLATED / TC364774-01(SHMT0575),100,50,pieces,available,3
SHMT0612,SUPPORT (M) D40-50 / 358051,100,50,pieces,available,3
SHMT0615,SUPPORT (M) D63 / 358105,100,50,pieces,available,3
SHMT0620,SUPPORT (M) D32 / TC370980,100,50,pieces,available,3
SHMT0625,SUPPORT (M) AUX D25 / 332247,100,50,pieces,available,3
SHMT0629,SUPPORT (F) D40-LP1D40 WITH TRMINAL SCREW/ 358048,100,50,pieces,available,3
SHMT0630,SUPPORT (M) D25 / TC370911,100,50,pieces,available,3
SHMT0635,SUPPORT (M) D17/18 / TC364775,100,50,pieces,available,3
SHMT0640,SUPPORT (M) LA1D / 358979,100,50,pieces,available,3
SHMT0645,SUPPORT (M) AUX D09-D95/CA2DN / TC337401,100,50,pieces,available,3
SHMT0650,SUPPORT (M) D09-12 / TC332216,100,50,pieces,available,3
SHMT0655,SUPPORT (M) LR1D / TC01907,100,50,pieces,available,3
SHMT0660,SUPPORT (M) LA2-LA3 / 336877,100,50,pieces,available,3
SHMT0238,SUPPORT FIX (NO) CRCA CB15A310(TC1D25) / TCPD2056-01(SHMT0693),100,50,pieces,available,3
SHMT0694,SUPPORT FIX (NC) CRCA CB11A301 / TCPD2057-01,100,50,pieces,available,3
SHMT0696,"SUPPORT (M) LX1FF,LX9F-FGF COIL NO BLOC / 341652",100,50,pieces,available,3
SHMT1057,SUPPORT (M) FOR AC2D(2 POLE AGRO CONTACTOR) / TCPD2138,100,50,pieces,available,3
SHMT7658,SUPPORT (M) FOR TC1DT804Ne  / TC/RE/D2/1369,100,50,pieces,available,3
SHMT8512,SUPPORT (M)TC1D80A -GE / TCPD1940,100,50,pieces,available,3
SHMT8632,SUPPORT (F) 2 NO 2 POLE AGRO CONTACTOR / TCPD8001,100,50,pieces,available,3
SHMT8633,SUPPORT (M) 2 NO 2 POLE AGRO CONTACTOR / TCPD8002,100,50,pieces,available,3
SHMT8905,FIXED CONTACT SUPPORT (M) FOR DX IEC CONTACTORS 45 ~ 50A / TCPD7121,100,50,pieces,available,3
SHMT8906,FIXED CONTACT SUPPORT (L) FOR DX SERIES CONTACTOR / TCPD7122,100,50,pieces,available,3
SHMT8907,FIXED CONTACT SUPPORT (R) FOR DX SERIES CONTACTOR / TCPD7123,100,50,pieces,available,3
SHMT8911,FIXED CONTACT SUPPORT (M) FOR DX SERIES CONTACTOR 80A / TCPD7125,100,50,pieces,available,4
SHMT8912,FIXED CONTACT SUPPORT (L) FOR NEW IEC CONTACTORS 80A  / TCPD7126,100,50,pieces,available,4
SHMT8913,FIXED CONTACT SUPPORT (R) FOR DX SERIES CONTACTOR 80A  / TCPD7127,100,50,pieces,available,4
SHMT6058,SUPPORT(M)4P AGRO CONTACTOR/TCPD7222,100,50,pieces,available,4
SHMT6059,SUPPORT(F) 4P AGRO CONTACTOR/TCPD7221,100,50,pieces,available,4
SHMT1968,"FIX SUPPORT-1, 2 & 3 POLE DP CONTACTOR / TCREDP104",100,50,pieces,available,4
SHMT2866,SUPPORT FIX TC1DT404Ne CONTACTOR / TCPD3920,100,50,pieces,available,4
SHMT3530,SUPPORT (F) NO AC2D 2 POLE AGRO CONTACTOR NEW / TCPD3675,100,50,pieces,available,4
SHMT3590,SUPPORT (M) TC1D25/32/3811 / TCPD3800,100,50,pieces,available,4
SHMT3591,SUPPORT (F) TC1D25/32/3811 / TCPD3802,100,50,pieces,available,4
SHMT3594,SUPPORT (F) NO (AUX.)(P) TC1D25/32/3811 / TCPD3806,100,50,pieces,available,4
SHMT3595,SUPPORT (F) NC (AUX.)(P) TC1D25/32/3811 / TCPD3807,100,50,pieces,available,4
SHMT3601,SUPPORT FIX (U/P)  CC09-12 CROMPTON CONTROL / TC358891-05,100,50,pieces,available,4
SHMT4355,SUPPORT MOVING  TC1D1811 CONTACTOR / TCPD4180,100,50,pieces,available,4
SHMT5456,SUPPORT MOVING (JOGGING CONTACT DAN) / TCPD1701,100,50,pieces,available,4
SHMT5066,SUPPORT (M) TC1DX204 CONTACTOR / TCPD4459,100,50,pieces,available,4
SHMT5067,SUPPORT (F) TC1DX204 CONTACTOR / TCPD4460,100,50,pieces,available,4
SHMT0419,SUPPORT (F) NC LC1D098/128 (TAPPED),100,50,pieces,available,4
